0.5A 2R left 2cm 霍尔电流 5.00mA		0.5A 2R left 4cm 霍尔电流 5.00mA		0.5A 2R left 6cm 霍尔电流 5.00mA		0.5A 2R left 8cm 霍尔电流 5.00mA		0.5A R left 2cm 霍尔电流 5.00mA		0.5A R left 4cm 霍尔电流 5.00mA		0.5A R left 6cm 霍尔电流 5.00mA		0.5A left 8cm 霍尔电流 5.00mA		0.5A 0.5R left 2cm 霍尔电流 5.00mA		0.5A 0.5R left 4cm 霍尔电流 5.00mA		0.5A 0.5R left 6cm 霍尔电流 5.00mA		0.5A 0.5R left 8cm 霍尔电流 5.00mA		2R		R		0.5R		B&I +2.5cm left 8cm		B&I +0cm left 0cm		B&I -1cm right 4cm		B&I -1cm right 4cm	
-19	0.64	-19	0.58	-19	0.51	-19	0.4	-19	0.31	-19	0.29	-19	0.25	-19	0.21	-19	0.25	-19	0.24	-19	0.21	-19	0.18	-19.5	0.55	-19	0.34	-19	0.29	0.15	-0.98	0.15	-0.74	0.15	-0.82	0.15	-0.74
-18	0.75	-18	0.67	-18	0.6	-18	0.47	-18	0.36	-18	0.33	-18	0.29	-18	0.24	-18	0.29	-18	0.27	-18	0.24	-18	0.2	-18	0.68	-17	0.45	-18	0.33	0.3	-1.96	0.3	-1.48	0.3	-1.64	0.3	-1.48
-17	0.86	-17	0.77	-17	0.7	-17	0.56	-17	0.41	-17	0.38	-17	0.33	-17	0.27	-17	0.33	-17	0.32	-17	0.27	-17	0.23	-16.5	0.83	-15	0.59	-17	0.38	0.45	-2.94	0.45	-2.23	0.45	-2.46	0.45	-2.23
-16	0.99	-16	0.9	-16	0.85	-16	0.67	-16	0.48	-16	0.45	-16	0.39	-16	0.31	-16	0.39	-16	0.36	-16	0.32	-16	0.26	-15	1	-13	0.79	-15.5	0.46								
-15	1.11	-15	1.03	-15	0.99	-15	0.85	-15	0.56	-15	0.52	-15	0.45	-15	0.36	-15	0.45	-15	0.41	-15	0.363	-15	0.3	-14	1.13	-11	1.04	-13.5	0.6								
-14	1.23	-14	1.18	-14	1.18	-14	1.09	-14	0.65	-14	0.61	-14	0.53	-14	0.41	-14	0.52	-14	0.48	-14	0.43	-14	0.34	-13	1.24	-9	1.33	-11.5	0.8								
-13	1.34	-13	1.33	-13	1.4	-13	1.4	-13	0.76	-13	0.71	-13	0.61	-13	0.49	-13	0.61	-13	0.57	-13	0.5	-13	0.39	-12	1.34	-7	1.61	-9.5	1.08								
-12	1.42	-12	1.45	-12	1.59	-12	1.85	-12	0.88	-12	0.83	-12	0.73	-12	0.57	-12	0.71	-12	0.66	-12	0.58	-12	0.45	-11	1.41	-5	1.82	-7.5	1.42								
-11	1.46	-11	1.53	-11	1.73	-11	2.24	-11	1.01	-11	0.97	-11	0.89	-11	0.68	-11	0.84	-11	0.77	-11	0.67	-11	0.52	-10.5	1.44	-4	1.87	-6.5	1.62								
-10.5	1.46	-10.5	1.56	-10.5	1.74	-10.5	2.35	-10	1.15	-10	1.12	-10	1.03	-10	0.83	-10	0.97	-10	0.9	-10	0.79	-10	0.61	-10	1.46	-3	1.91	-5.5	1.8								
